rnum,productGb,prdlstReportNo,prdlstNm,prdkind,prdkindstate,capacity,manufacture,seller,rawmtrl,allergy,nutrient,barcode,imgurl1,imgurl2
2,식품,201904962712,설화눈꽃팝김부각스낵 아몬드맛,과자,낱개 및 세트박스 포장,,남원혼불부각,,"찹쌀,김,참깨,옥수수기름(옥배유),아몬드,양파,무,천일염,대파,마늘,새우,멸치,다시마,건표고버섯,둥굴레,감초,정제수",아몬드,,,http://www.haccp.or.kr/fresh/prdimg/2019/201904962712/201904962712-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2019/201904962712/201904962712-2.jpg
6,식품,2018048003058,홀리닭 청양큐브,분쇄가공육제품,냉동보관,,농업회사법인 유한회사 더원푸드지점,,닭고기,"대두,밀,닭고기,쇠고기",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018048003058/2018048003058-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2018/2018048003058/2018048003058-2.jpg
7,식품,2018048003057,홀리닭 통가슴살 오리지널,양념육,냉동제품,,농업회사법인 유한회사 더원푸드지점,,닭가슴살,"대두,밀,닭고기,쇠고기",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018048003057/2018048003057-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2018/2018048003057/2018048003057-2.jpg
8,식품,201804424055,바삭하고 고소한 우유팝콘,과자류(유처리제품),60g/1개,,예그린,예그린,"옥수수,우유농축액,야자유,정제소금,합성착향료버터향",우유,"열량 270.22 kcal, 나트륨 115.5mg(6%),탄수화물44.3g(14%), 당류17.6g(18%),지방 8.4g(16%),트랜스지방 0g,포화지방5.9g(39%), 콜레스테롤4.9mg(2%), 단백질 4.3g(8%) ",8 809990 005420,http://www.haccp.or.kr/fresh/prdimg/2018/201804424055/201804424055-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804424055/201804424055-2.png
11,식품,201804150729,고들빼기김치,김치류,새상품,,(주)올마루,,"고들빼기,멸치액,염장새우,L-글루타민산나트륨,양파,다시마육수,혼합간장,고춧가루,마늘,생강,갈색설탕,참깨,물엿,매실청,배즙,찹쌀풀,당근,파,파","새우,대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201804150729/201804150729-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804150729/201804150729-2.png
12,식품,201804150727,양념깻잎김치,김치류,새상품,,(주)올마루,,"들깻잎,혼합간장,물엿,들기름,고춧가루,볶은통깨,생강,깐밤,당근,마늘","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201804150727/201804150727-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804150727/201804150727-2.png
15,식품,2018041507252,비빔오징어젓,양념젓갈,새상품,,(주)올마루,,"양념젓갈,오징어,정제소금,마늘,고추,고춧가루,해바라기씨앗,물엿,참깨,참기름",오징어,,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507252/2018041507252-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507252/2018041507252-2.png
16,식품,2018041507250,대파장아찌,절임식품,새상품,,(주)올마루,,"대파,간장,멸치액,정제수,식초,설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507250/2018041507250-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507250/2018041507250-2.png
17,식품,201804150725,깍두기,김치류,새상품,,(주)올마루,,"무,정제소금,밀가루풀,L-글루타민산나트륨,고춧가루,파,마늘,생강,양파,염장새우,멸치젓,백설탕","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201804150725/201804150725-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804150725/201804150725-2.png
18,식품,2018041507249,나박김치,김치류,새상품,,(주)올마루,,"배추,무,고춧가루,파,당근,양파,홍고추,마늘,생강,쌀풀,정제소금,정제수,잣",잣,,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507249/2018041507249-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507249/2018041507249-2.png
19,식품,2018041507248,무말랭이김치,김치류,새상품,,(주)올마루,,"무말랭이,물엿,멸치액,고춧가루,간장,밀가루풀,마늘,참깨","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507248/2018041507248-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507248/2018041507248-2.png
20,식품,2018041507247,겉절이,김치류,새상품,,(주)올마루,,"배추,고춧가루,파,마늘,멸치액,생강,양파,파,부추,염장새우,밀가루풀,참깨,L-글루탐산나트륨,황태표고다시마육수","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507247/2018041507247-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507247/2018041507247-2.png
21,식품,2018041507246,명품프리미엄포기김치,김치류,새상품,,(주)올마루,,"절임배추,배추,기타소금,무,고춧가루,마늘,대파,황태표고다시마육수,밤,멸치액,염장새우,정제수,홍고추,배,부추,설탕,양파,미나리,잣,파프리카,생강,찹쌀,가공소금,매실청","새우,잣",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507246/2018041507246-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507246/2018041507246-2.png
22,식품,2018041507244,무우장아찌,절임식품,새상품,,(주)올마루,,"무,간장,멸치액,설탕,식초,정제수","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507244/2018041507244-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507244/2018041507244-2.png
23,식품,2018041507243,파프리카잎장아찌,절임식품,새상품,,(주)올마루,,"파프리카잎,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507243/2018041507243-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507243/2018041507243-2.png
24,식품,2018041507242,취나물장아찌,절임식품,새상품,,(주)올마루,,"참취잎,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507242/2018041507242-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507242/2018041507242-2.png
25,식품,2018041507241,곰취장아찌,절임식품,새상품,,(주)올마루,,"곰취잎,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507241/2018041507241-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507241/2018041507241-2.png
26,식품,2018041507240,가시오가피순 장아찌,절임식품,새상품,,(주)올마루,,"가시오갈피잎,정제수,혼합간장,멸치액,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507240/2018041507240-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507240/2018041507240-2.png
27,식품,2018041507239,양파장아찌,절임식품,새상품,,(주)올마루,,"양파,간장,멸치액,식초,설탕,정제수","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507239/2018041507239-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507239/2018041507239-2.png
28,식품,2018041507238,마늘쫑 장아찌,절임식품,새상품,,(주)올마루,,"마늘쫑,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507238/2018041507238-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507238/2018041507238-2.png
29,식품,2018041507237,마늘장아찌,절임식품,새상품,,(주)올마루,,"마늘,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507237/2018041507237-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507237/2018041507237-2.png
30,식품,2018041507236,오이장아찌,절임식품,새상품,,(주)올마루,,"오이,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507236/2018041507236-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507236/2018041507236-2.png
31,식품,2018041507235,다진맛김치,김치류,새상품,,(주)올마루,,"절임배추,고춧가루,양파,마늘,생강,염장새우,멸치액,대파,정제수,L글루탐산나트륨,백설탕,밀가루풀,정제소금","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507235/2018041507235-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507235/2018041507235-2.png
32,식품,2018041507234,총각무김치양념,김칫속,새상품,,(주)올마루,,"고춧가루,염장새우,대파,마늘,백설탕,밀가루풀,정제소금,멸치액,생강,L글루탐산나트륨","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507234/2018041507234-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507234/2018041507234-2.png
