queue_rank,review_lane,brand_candidate_rows,brand_item_rank,food_catalog_id,source,food_code,brand_or_maker,name_ko,category,recommendation_status,serving_size_g,serving_reference,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,sodium_per_100g_mg,sugars_per_100g,saturated_fat_per_100g,source_detail,review_source_url,allergen_tags,allergen_profile_verified,allergen_data_source,allergen_confidence_level
1,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,1,24339,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0265,도미노피자,뉴욕 오리진 피자 오리지널 (L),OTHER,RECOMMENDABLE,100,100g,251,12.73,20.04,13.33,507,3.08,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
2,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,2,24547,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0475,도미노피자,리얼불고기 피자 나폴리 (L),OTHER,RECOMMENDABLE,100,100g,253,12.19,28.75,9.94,501,5.6,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
3,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,3,24548,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0476,도미노피자,리얼불고기 피자 씬 (L),OTHER,RECOMMENDABLE,100,100g,273,12.54,23.87,14.12,514,6.35,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
4,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,4,24549,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0477,도미노피자,리얼불고기 피자 오리지널 (L),OTHER,RECOMMENDABLE,100,100g,251,12.34,31.93,8.2,457,4.65,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
5,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,5,24768,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0698,도미노피자,베이컨체더치즈 피자 나폴리 (L),OTHER,RECOMMENDABLE,100,100g,276,14.96,24.59,12.6,508,2.87,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
6,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,6,24769,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0699,도미노피자,베이컨체더치즈 피자 씬 (L),OTHER,RECOMMENDABLE,100,100g,310,15.71,18.03,19.46,575,3.31,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
7,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,7,24770,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0700,도미노피자,베이컨체더치즈 피자 오리지널 (L),OTHER,RECOMMENDABLE,100,100g,275,12.77,28.2,12.31,466,2.69,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
8,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,8,24879,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0811,도미노피자,블랙앵거스 스테이크 피자 오리지널 (L),OTHER,RECOMMENDABLE,100,100g,242,12,29.26,8.54,422,4,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
9,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,9,24882,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0814,도미노피자,블랙타이거슈림프 피자 오리지널 (L),OTHER,RECOMMENDABLE,100,100g,234,11,31.61,6.94,532,3,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
10,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED,347,10,24988,MFDS_FOOD_NUTRIENT_DB,D202-120000000-0921,도미노피자,슈퍼디럭스 피자 나폴리 (L),OTHER,RECOMMENDABLE,100,100g,226,11.55,21.7,10.34,503,2.37,,FoodNtrCpntDbInfo02,"","",false,BRAND_OFFICIAL,LABEL_DERIVED
