priority_rank,brand_or_maker,candidate_rows,franchise_or_menu_rows,packaged_rows,recommendable_rows,caution_rows,sample_source,sample_category,review_lane
1,도미노피자,347,347,0,347,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
2,쿡베이스,257,0,257,257,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
3,파리바게뜨,208,208,0,208,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
4,크로플덕오리아가씨,94,94,0,94,0,MFDS_FOOD_NUTRIENT_DB,DAIRY,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
5,롤링핀,68,68,0,68,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
6,배스킨라빈스,57,57,0,57,0,MFDS_FOOD_NUTRIENT_DB,DAIRY,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
7,노모어피자,47,47,0,47,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
8,주식회사 플라잉닥터 제2공장,42,0,42,42,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
9,(주)현대그린푸드스마트푸드센터,40,0,40,40,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
10,요거트아이스크림의 정석,40,40,0,40,0,MFDS_FOOD_NUTRIENT_DB,DAIRY,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
11,탐앤탐스,40,40,0,40,0,MFDS_FOOD_NUTRIENT_DB,DAIRY,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
12,(주)해명씨앤씨,39,0,39,39,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
13,츄러스1500,39,39,0,39,0,MFDS_FOOD_NUTRIENT_DB,DAIRY,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
14,던킨도너츠,34,34,0,34,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
15,(주)태향,33,0,33,33,0,MFDS_STANDARD_PROCESSED,BEVERAGE,LABEL_OR_FOODQR_REQUIRED
16,주식회사지니온,33,0,33,33,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
17,(주)세종에브리푸드,30,0,30,30,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
18,(주)푸드플래닛,30,0,30,30,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
19,맘스터치,30,30,0,30,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
20,웅진식품(주),29,0,29,29,0,MFDS_STANDARD_PROCESSED,BEVERAGE,LABEL_OR_FOODQR_REQUIRED
21,(주)오뚜기,28,0,28,28,0,MFDS_STANDARD_PROCESSED,FAT,LABEL_OR_FOODQR_REQUIRED
22,씨제이제일제당(주),28,0,28,28,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
23,크로플각,28,28,0,28,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
24,(주)현대그린푸드 스마트푸드센터,27,0,27,27,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
25,피자스쿨,27,27,0,27,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
26,바나프레소,26,26,0,26,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
27,(주)원푸드림,25,0,25,25,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
28,(주)조인앤조인F3,25,0,25,25,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
29,난타5000피자,25,25,0,25,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
30,롯데제과(주),25,0,25,25,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
31,(주)우리델리카,24,0,24,24,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
32,메가커피,24,24,0,24,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
33,신세계에프앤비유한회사농업회사법인,24,0,24,24,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
34,(주)대두식품,23,0,23,23,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
35,맥도날드,23,23,0,23,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
36,(주)대정,22,0,22,22,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
37,(주)푸르온,22,0,22,22,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
38,(주)비지에프푸드,21,0,21,21,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
39,(주)현대그린푸드,21,0,21,21,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
40,농업회사법인주식회사태성김치,21,0,21,21,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
41,서울식품공업(주),21,0,21,21,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
42,엠즈베이커스주식회사,21,0,21,21,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
43,주식회사장모님에프앤비,21,0,21,21,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
44,복호두,20,20,0,20,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
45,(주)샤니,19,0,19,19,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
46,(주)우양,19,0,19,19,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
47,(주)후레쉬서브,19,0,19,19,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
48,㈜늘푸른바다,19,0,19,19,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
49,대한제분(주),19,0,19,19,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
50,(주)시아스,18,0,18,18,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
51,로띠번,18,18,0,18,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
52,주식회사에스피씨삼립,18,0,18,18,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
53,태원식품산업(주),18,0,18,18,0,MFDS_STANDARD_PROCESSED,FAT,LABEL_OR_FOODQR_REQUIRED
54,(주)면사랑,17,0,17,17,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
55,(주)미트벨리,17,0,17,17,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
56,(주)삼영데리카후레쉬,17,0,17,17,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
57,㈜나비야,17,0,17,17,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
58,롯데푸드(주),17,0,17,17,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
59,보감푸드,17,0,17,17,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
60,주식회사 내담에프앤비(NAEDAM F&B),17,0,17,17,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
61,(주)농심,16,0,16,16,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
62,(주)비지에프푸드전북,16,0,16,16,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
63,(주)푸드인모닝스타,16,0,16,16,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
64,(주)한국데리카후레쉬,16,0,16,16,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
65,빅스타피자,16,16,0,16,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
66,스트릿츄러스,16,16,0,16,0,MFDS_FOOD_NUTRIENT_DB,DAIRY,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
67,씨제이제일제당(주)진천BLOSSOM CAMPUS,16,0,16,16,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
68,(주)바이오포트코리아,15,0,15,15,0,MFDS_STANDARD_PROCESSED,BEVERAGE,LABEL_OR_FOODQR_REQUIRED
69,(주)삼양패키징광혜원공장,15,0,15,15,0,MFDS_STANDARD_PROCESSED,BEVERAGE,LABEL_OR_FOODQR_REQUIRED
70,(주)아워홈,15,0,15,15,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
71,(주)엔트리,15,0,15,15,0,MFDS_STANDARD_PROCESSED,BEVERAGE,LABEL_OR_FOODQR_REQUIRED
72,광동헬스바이오(주),15,0,15,15,0,MFDS_STANDARD_PROCESSED,BEVERAGE,LABEL_OR_FOODQR_REQUIRED
73,남향푸드또띠아(주),15,0,15,15,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
74,노브랜드버거,15,15,0,15,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
75,비스트로피자,15,15,0,15,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
76,(주)개미식품,14,0,14,14,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
77,(주)녹선,14,0,14,14,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
78,(주)늘푸른바다,14,0,14,14,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
79,(주)델리캡,14,0,14,14,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
80,(주)자임에프앤비,14,0,14,14,0,MFDS_STANDARD_PROCESSED,BEVERAGE,LABEL_OR_FOODQR_REQUIRED
81,"SUZUYO & CO., LTD HIDAKA DISTRIBUTION CENTER",14,0,14,14,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
82,연세대학교 연세유업,14,0,14,14,0,MFDS_STANDARD_PROCESSED,BEVERAGE,LABEL_OR_FOODQR_REQUIRED
83,제이비지 에프앤비(JBG F&B),14,0,14,14,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
84,(주)동원홈푸드,13,0,13,13,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
85,(주)스윗밸런스랩,13,0,13,13,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
86,(주)신세계푸드,13,0,13,13,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
87,(주)쓱싹푸드,13,0,13,13,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
88,(주)영진데리카후레쉬,13,0,13,13,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
89,(주)호남샤니,13,0,13,13,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
90,공차,13,13,0,13,0,MFDS_FOOD_NUTRIENT_DB,OTHER,BRAND_OFFICIAL_ALLERGEN_TABLE_REQUIRED
91,농업회사법인 고살메식품 주식회사,13,0,13,13,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
92,서민에프엔씨,13,0,13,13,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
93,한일식품(주),13,0,13,13,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
94,(주)네이처텍,12,0,12,12,0,MFDS_STANDARD_PROCESSED,BEVERAGE,LABEL_OR_FOODQR_REQUIRED
95,(주)미미식품,12,0,12,12,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
96,(주)제이비프레시,12,0,12,12,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
97,"SHANDONG HUATAO FOOD CO.,LTD",12,0,12,12,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
98,ULKER BISKUVI SANAYI ANONIM SIRKETI-SILIVRI BRANCH,12,0,12,12,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
99,맛있는찬,12,0,12,12,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
100,삼성웰스토리CentralKitchen아산,12,0,12,12,0,MFDS_STANDARD_PROCESSED,PROCESSED,LABEL_OR_FOODQR_REQUIRED
