decision,reason,food_catalog_id,source,food_code,brand_name,maker,name_ko,category,current_recommendation_status,primary_serving_g,candidate_company_tokens,haccp_report_no,haccp_product_name,haccp_manufacture,haccp_seller,haccp_allergy,allergen_tags,haccp_imgurl1,name_match_count,company_match_count,distinct_tag_set_count
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,301,MFDS_STANDARD_PROCESSED,P119-401040100-0187,"",(주)한국야쿠르트/(주)에치와이,에이스라이트,PROCESSED,RECOMMENDABLE,50,한국야쿠르트|에치와이,198102620039,에이스 라이트,㈜한국야구르트/경기도 평택시 진위면 동부대로 2 www.yakult.co.kr,알수없음,우유 함유,우유,http://www.haccp.or.kr/fresh/prdimg/1981/198102620039/198102620039-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,402,MFDS_STANDARD_PROCESSED,P117-100010100-1070,"",주식회사아워홈,오리지널 닭가슴살,PROCESSED,RECOMMENDABLE,30,아워홈,2014040501264,오리지널 닭가슴살,알수없음,알수없음,"닭고기,대두 함유","대두,닭고기",http://www.haccp.or.kr/fresh/prdimg/2014/2014040501264/2014040501264-1.jpg,1,0,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,504,MFDS_STANDARD_PROCESSED,P101-106000100-0129,"",(주)광일식품,고구마형스낵,PROCESSED,RECOMMENDABLE,30,광일식품,19860512022185,고구마형스낵,㈜광일식품/전남 나주시 남평읍 남평향교길 79-1/(061)331-1950,㈜헤시온 /경기도 용인시 처인구 중부대로 1394,"밀,대두,우유 함유","우유,대두,밀",http://www.haccp.or.kr/fresh/prdimg/1986/19860512022185/19860512022185-1.jpg,1,1,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,505,MFDS_STANDARD_PROCESSED,P101-106000100-0125,"",(주)청우식품,고구마형과자,PROCESSED,RECOMMENDABLE,30,청우식품,20100372386251,고구마형과자,㈜청우식품 경기도 포천시 영중면 먼재길 129 / (080) 039-8585,㈜이마트 / 서울시 성동구 뚝섬로 377 (성수동 2가) / 02-380-5678,"밀, 대두, 우유, 땅콩 함유","우유,땅콩,대두,밀",http://www.haccp.or.kr/fresh/prdimg/2010/20100372386251/20100372386251-1.jpg,4,1,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,506,MFDS_STANDARD_PROCESSED,P101-106000100-0126,"",(주)코스모스제과,고구마형과자,PROCESSED,RECOMMENDABLE,30,코스모스제과,20100372386251,고구마형과자,㈜청우식품 경기도 포천시 영중면 먼재길 129 / (080) 039-8585,㈜이마트 / 서울시 성동구 뚝섬로 377 (성수동 2가) / 02-380-5678,"밀, 대두, 우유, 땅콩 함유","우유,땅콩,대두,밀",http://www.haccp.or.kr/fresh/prdimg/2010/20100372386251/20100372386251-1.jpg,4,0,4
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,511,MFDS_STANDARD_PROCESSED,P101-106000100-0124,"",(주)광일식품,고구마형과자,PROCESSED,RECOMMENDABLE,30,광일식품,198605120226,고구마형과자,(주)광일식품_전남 나주시 남평읍 남평향교길 79-1,(주)광일식품_전남 나주시 남평읍 남평향교길 79-1,"밀,대두,우유","우유,대두,밀",http://www.haccp.or.kr/fresh/prdimg/1986/198605120226/198605120226-1.jpg,4,1,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,512,MFDS_STANDARD_PROCESSED,P101-107000100-1656,"",(주)청우식품,고구마형과자,PROCESSED,RECOMMENDABLE,30,청우식품,20100372386251,고구마형과자,㈜청우식품 경기도 포천시 영중면 먼재길 129 / (080) 039-8585,㈜이마트 / 서울시 성동구 뚝섬로 377 (성수동 2가) / 02-380-5678,"밀, 대두, 우유, 땅콩 함유","우유,땅콩,대두,밀",http://www.haccp.or.kr/fresh/prdimg/2010/20100372386251/20100372386251-1.jpg,4,1,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,513,MFDS_STANDARD_PROCESSED,P101-107000100-1657,"",(주)코스모스제과,고구마형과자,PROCESSED,RECOMMENDABLE,30,코스모스제과,20100372386251,고구마형과자,㈜청우식품 경기도 포천시 영중면 먼재길 129 / (080) 039-8585,㈜이마트 / 서울시 성동구 뚝섬로 377 (성수동 2가) / 02-380-5678,"밀, 대두, 우유, 땅콩 함유","우유,땅콩,대두,밀",http://www.haccp.or.kr/fresh/prdimg/2010/20100372386251/20100372386251-1.jpg,4,0,4
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,545,MFDS_STANDARD_PROCESSED,P101-106000100-0127,"",동아제과,고구마형과자,PROCESSED,RECOMMENDABLE,30,동아제과,1994014402616,고구마형과자,동아제과_부산광역시 사하구 하신중앙로3번길 73(장림동),동아제과_부산광역시 사하구 하신중앙로3번길 73(장림동),밀,밀,http://www.haccp.or.kr/fresh/prdimg/1994/1994014402616/1994014402616-1.jpg,4,1,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,546,MFDS_STANDARD_PROCESSED,P101-106000100-0128,"",유풍제과,고구마형과자,PROCESSED,RECOMMENDABLE,30,유풍제과,20100372386251,고구마형과자,㈜청우식품 경기도 포천시 영중면 먼재길 129 / (080) 039-8585,㈜이마트 / 서울시 성동구 뚝섬로 377 (성수동 2가) / 02-380-5678,"밀, 대두, 우유, 땅콩 함유","우유,땅콩,대두,밀",http://www.haccp.or.kr/fresh/prdimg/2010/20100372386251/20100372386251-1.jpg,4,0,4
