brand_name,menu_name,category,nutrition_basis,serving_size_g,calories,protein,carbs,fat,sodium,sugar,saturated_fat,source_url,last_verified_at,recommendation_status,recommendation_reason,allergen_tags,allergen_profile_verified
버거킹,갈릭메이플소스,OTHER,PER_SERVING,10.5,30,0.1,,,40.3,6.1,0,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"토마토, 돼지고기, 대두",true
버거킹,갈릭불고기 맥시멈 원파운더,PROCESSED,PER_SERVING,573,1694,93,,,2262,18,45,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"쇠고기, 우유, 대두, 밀, 난류",true
버거킹,갈릭불고기 맥시멈2,PROCESSED,PER_SERVING,358,1076,54,,,1710,7,24,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"밀, 대두, 우유, 쇠고기, 난류",true
버거킹,갈릭불고기 맥시멈3,PROCESSED,PER_SERVING,468,1347,77,,,1902,15,28,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"쇠고기, 우유, 대두, 밀, 난류",true
버거킹,갈릭불고기와퍼,PROCESSED,PER_SERVING,293,768,31,,,1007,9,12,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"밀, 대두, 토마토, 쇠고기, 난류",true
버거킹,고구마 크림치즈 파이 로얄,PROCESSED,PER_SERVING,62,240,3,,,94,8,7,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"우유, 대두, 밀",true
버거킹,구운갈릭 시즈닝,PROCESSED,PER_SERVING,3,8,0,,,150,2,0,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,밀,true
버거킹,너겟킹 10조각,PROTEIN_SOURCE,PER_SERVING,165,368,22,,,1054,0.9,5,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"밀, 대두, 닭고기",true
버거킹,너겟킹 4조각,PROTEIN_SOURCE,PER_SERVING,66,147,9,,,422,0.4,2,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"대두, 밀, 닭고기",true
버거킹,너겟킹 8조각,PROTEIN_SOURCE,PER_SERVING,132,294,17,,,843,0.7,4,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"밀, 대두, 닭고기",true
버거킹,대~호 버거,PROCESSED,PER_SERVING,254,788,36,,,1129,10,19,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"밀, 대두, 난류, 쇠고기, 우유",true
버거킹,더 크리스퍼,PROCESSED,PER_SERVING,225,696,26,,,1392,5,9,https://www.burgerking.co.kr/,2026-06-09,SEARCH_ONLY,,"토마토, 난류, 쇠고기, 닭고기, 대두, 밀",true
