raw_name,heuristic_display,corrected_display
(반)NEW 화이트시트 3호_25,(반)NEW 화이트시트 3호,NEW 화이트시트 3호
(반)NEW 화이트시트 4호_25,(반)NEW 화이트시트 4호,NEW 화이트시트 4호
(반)NEW 화이트시트_23,(반)NEW 화이트시트,NEW 화이트시트
(반)가토쇼콜라_23,(반)가토쇼콜라,가토쇼콜라
(반)당근 케이크_23,(반)당근 케이크,당근 케이크
(반)두바이 쫀득 쿠키_26,(반)두바이 쫀득 쿠키,두바이 쫀득 쿠키
(반)로즈베리 콩포트 필링_26,(반)로즈베리 콩포트 필링,로즈베리 콩포트 필링
(반)루돌프 모카 크런치_23,(반)루돌프 모카 크런치,루돌프 모카 크런치
(반)리틀 스노우맨_23,(반)리틀 스노우맨,리틀 스노우맨
(반)리틀베어 초코 컵케이크_25,(반)리틀베어 초코 컵케이크,리틀베어 초코 컵케이크
(반)말차 갸또 스퀘어_25,(반)말차 갸또 스퀘어,말차 갸또 스퀘어
(반)망고딸기 요거트케이크_25,(반)망고딸기 요거트케이크,망고딸기 요거트케이크
(반)머스코바도 쇼트케이크 시트_24,(반)머스코바도 쇼트케이크 시트,머스코바도 쇼트케이크 시트
(반)멜팅 초코 쉬폰_23,(반)멜팅 초코 쉬폰,멜팅 초코 쉬폰
(반)밀크&넛츠 리스무스_23,(반)밀크&넛츠 리스무스,밀크&넛츠 리스무스
(반)밀키 롤 케이크_25,(반)밀키 롤 케이크,밀키 롤 케이크
(반)바나나 컵케이크_24,(반)바나나 컵케이크,바나나 컵케이크
(반)발로나 모카_24,(반)발로나 모카,발로나 모카
(반)쇼콜라아이싱케이크_25,(반)쇼콜라아이싱케이크,쇼콜라아이싱케이크
(반)슈 케이크_24,(반)슈 케이크,슈 케이크
(반)스퀘어 화이트 마스카포네_24,(반)스퀘어 화이트 마스카포네,스퀘어 화이트 마스카포네
(반)스트로베리 레드벨벳_25,(반)스트로베리 레드벨벳,스트로베리 레드벨벳
(반)스트로베리 컵케이크_26,(반)스트로베리 컵케이크,스트로베리 컵케이크
(반)시그니처 망고 케이크_26,(반)시그니처 망고 케이크,시그니처 망고 케이크
(반)시그니처 스트로베리 케이크_26,(반)시그니처 스트로베리 케이크,시그니처 스트로베리 케이크
(반)시그니처 스트로베리 케이크_26(냉장),(반)시그니처 스트로베리 케이크(냉장),시그니처 스트로베리 케이크(냉장)
(반)아이싱 모카 쉬폰_26,(반)아이싱 모카 쉬폰,아이싱 모카 쉬폰
(반)아이싱 스트로베리 쉬폰_26,(반)아이싱 스트로베리 쉬폰,아이싱 스트로베리 쉬폰
(반)아이싱 얼그레이 쉬폰_26,(반)아이싱 얼그레이 쉬폰,아이싱 얼그레이 쉬폰
(반)아이싱 초코 쉬폰_26,(반)아이싱 초코 쉬폰,아이싱 초코 쉬폰
(반)얼그레이 쉬폰 1호_23,(반)얼그레이 쉬폰 1호,얼그레이 쉬폰 1호
(반)요거 마스카포네 케이크_25,(반)요거 마스카포네 케이크,요거 마스카포네 케이크
(반)요거트 케이크_25,(반)요거트 케이크,요거트 케이크
(반)윈터 박스_25,(반)윈터 박스,윈터 박스
(반)제노와즈 오 쇼콜라_23,(반)제노와즈 오 쇼콜라,제노와즈 오 쇼콜라
(반)초코 바나나 로쉐_25,(반)초코 바나나 로쉐,초코 바나나 로쉐
(반)컵 티라미수_21,(반)컵 티라미수,컵 티라미수
(반)통 얼그레이 쉬폰_24,(반)통 얼그레이 쉬폰,통 얼그레이 쉬폰
(반)트리 가토 바닥_23,(반)트리 가토 바닥,트리 가토 바닥
(반)트리 화이트 시트(쨈샌드)_23,(반)트리 화이트 시트(쨈샌드),트리 화이트 시트(쨈샌드)
(반)프로마쥬 타르트_24,(반)프로마쥬 타르트,프로마쥬 타르트
(반)플레인 쉬폰 케이크_24,(반)플레인 쉬폰 케이크,플레인 쉬폰 케이크
(반)피스타치오 제노와즈 2호_26,(반)피스타치오 제노와즈 2호,피스타치오 제노와즈 2호
(반)하트 투 하트 무스_24,(반)하트 투 하트 무스,하트 투 하트 무스
(탭스)김밥(반제)_방풍나물김밥 3줄*1팩,방풍나물김밥 3줄*1팩,방풍나물김밥 3줄*1팩
(특)얼그레이 롤케이크_24,(특)얼그레이 롤케이크,(특)얼그레이 롤케이크
(특)초코 롤케이크_24,(특)초코 롤케이크,(특)초코 롤케이크
(특)화이트바닐라빈 롤케이크_24,(특)화이트바닐라빈 롤케이크,(특)화이트바닐라빈 롤케이크
23XMAS_윈터겹겹이크레이프_냉동_EA,윈터겹겹이크레이프(냉동),윈터겹겹이크레이프(냉동)
24XMAS_위시화이트초코케이크,위시화이트초코케이크,위시화이트초코케이크
25X_메리루돌프,메리루돌프,메리루돌프
25X_시나모롤드림볼,시나모롤드림볼,시나모롤드림볼
25X_신데렐라마법의성,신데렐라마법의성,신데렐라마법의성
25X_윈터밀크초코,윈터밀크초코,윈터밀크초코
25X_해피눈사람,해피눈사람,해피눈사람
25X_헬로우산타,헬로우산타,헬로우산타
25X_헬로카봇스타가디언케이크,헬로카봇스타가디언케이크,헬로카봇스타가디언케이크
6곡단팥빵_밤,밤6곡단팥빵,밤 6곡단팥빵
6곡단팥빵_소보루,소보루6곡단팥빵,소보루 6곡단팥빵
6곡단팥빵_앙버터,앙버터6곡단팥빵,앙버터 6곡단팥빵
6곡단팥빵_유산균,유산균6곡단팥빵,유산균 6곡단팥빵
